Shoots: dispara, brotos, filmagens  
sail: velejar, navegar, vela  
safe: seguro, cofre, inofensivo  
sacred: sagrado, venerado, divino  
sad: triste, infeliz, melancólico  
salary: salário, ordenado, remuneração  
sale: venda, liquidação, promoção  
salt: sal, tempero, picante  
same: mesmo, igual, idêntico  
sample: amostra, exemplo, modelo  
satisfy: satisfazer, agradar, cumprir  
save: salvar, economizar, poupar  
scale: escala, balança, medir  
scan: escanear, examinar, analisar  
scare: assustar, amedrontar, aterrorizar  
scene: cena, cenário, espetáculo  
schedule: agenda, cronograma, horário  
scheme: esquema, plano, artimanha  
school: escola, colégio, academia  
science: ciência, conhecimento, disciplina  
scissors: tesoura, lâminas, cortador  
scope: alcance, escopo, objetivo  
score: pontuação, resultado, marcar  
scratch: arranhar, coçar, riscar  
screen: tela, monitor, proteger  
script: roteiro, manuscrito, escrita  
sculpture: escultura, estátua, modelagem  
sea: mar, oceano, água salgada  
search: pesquisar, procurar, buscar  
season: estação, temporada, tempero  
seat: assento, cadeira, banco  
second: segundo, auxiliar, apoiar  
secret: segredo, oculto, confidencial  
secure: seguro, protegido, prender  
see: ver, enxergar, compreender  
seek: buscar, procurar, tentar  
seem: parecer, assemelhar-se, sugerir  
segment: segmento, parte, fração  
select: selecionar, escolher, optar  
self: eu, si mesmo, individual  
sell: vender, negociar, comercializar  
send: enviar, remeter, despachar  
sense: sentido, percepção, noção  
sentence: frase, sentença, condenação  
separate: separar, dividir, individual  
sequence: sequência, ordem, sucessão  
series: série, conjunto, sucessão  
serve: servir, atender, fornecer  
service: serviço, atendimento, auxílio  
session: sessão, reunião, encontro  
set: conjunto, definir, estabelecer  
settle: resolver, estabelecer-se, ajustar  
several: vários, diversos, múltiplos  
shade: sombra, tonalidade, proteção  
shadow: sombra, espectro, silhueta  
shake: agitar, tremer, sacudir  
shape: forma, contorno, estrutura  
share: compartilhar, dividir, cota  
sharp: afiado, cortante, intenso  
she: ela, mulher, garota  
sheet: folha, lençol, chapa  
shelf: prateleira, estante, suporte  
shell: concha, casco, cápsula  
shift: mudança, deslocamento, turno  
shine: brilhar, reluzir, destacar-se  
ship: navio, embarcação, transportar  
